Age,Gender,Education,Role,AvgVisitDuration,PrescriptionAttitude,PublicationsNumber,CongressesAttended,PartnershipsPhC,CollabAttitudePhC,AvgOpenedEmail,VisitsLandingPageLY,AccessOnlineServiceLY,AttendedEventsLY,ClickthroughRate,OpenRate,EngagementDriver
32,F,Master'sdegree,Surgeon,30.0,Neutral,10,5,3,Positive,5.0,100,100,5,0.12491714249764302,0.2926407470751735,EasyNavigation
46,M,Bachelor'sdegree,NursePractitioner,20.0,Positive,5,2,1,Neutral,7.0,100,75,3,0.12646228533878473,0.3905718883230669,RelevantContent
55,F,Doctorate,MedicalDirector,30.0,Negative,20,10,5,Negative,3.0,100,100,7,0.03719608507650664,0.18825551322969963,Personalization
28,M,Bachelor'sdegree,Intern,10.0,Neutral,2,0,0,Neutral,6.0,50,25,1,0.0862915130000208,0.23885690933598547,FastLoading
62,F,Doctorate,ChiefofMedicine,60.0,Positive,30,15,10,Positive,2.0,100,100,10,0.08960956147401837,0.36827656158860256,InteractiveDesign
36,F,Doctorate,MedicalDirector,25.0,Positive,15,8,2,Positive,4.0,100,100,6,0.16839707736644305,0.3146876340534532,User-FriendlyInterface
45,M,Master'sdegree,Surgeon,35.0,Neutral,5,3,0,Neutral,6.0,100,75,2,0.11581908735668928,0.2523335128849716,ResponsiveDesign
29,F,Bachelor'sdegree,Intern,10.0,Negative,1,0,0,Negative,2.0,25,10,1,0.060293212053393545,0.1834819458138941,PersonalizedExperience
68,M,Master'sdegree,NursePractitioner,50.0,Positive,25,12,5,Positive,3.0,100,100,9,0.06980412276751057,0.2091930804446295,High-qualityContent
22,F,Bachelor'sdegree,Resident,10.0,Neutral,0,0,0,Neutral,8.0,20,5,1,0.060443493475443616,0.17458383645982392,SimpleNavigation
52,M,Doctorate,ChiefofSurgery,40.0,Negative,10,5,1,Negative,1.0,100,100,7,0.06864928862539288,0.18000311013325943,Interactive
27,M,Bachelor,Nurse,15.2,Positive,4,2,0,Neutral,6.5,20,35,4,0.0843855157767992,0.2776297243603885,Communication
54,F,Master,Surgeon,10.8,Negative,12,5,3,Positive,8.3,50,63,8,0.05078288417395028,0.38673354390278913,Personalization
35,M,PhD,Physician,19.1,Neutral,7,3,1,Negative,5.8,35,42,6,0.10441559425022495,0.3371367836506004,Convenience
42,F,Bachelor,Nurse,13.7,Positive,2,1,0,Neutral,7.1,15,22,3,0.02024943860278327,0.18343363289831704,Trust
36,F,Bachelor's,Nurse,30.0,Positive,5,2,3,Willing,2.0,20,15,5,0.25360745688569336,0.5323115852158894,Clear communication with patients
44,M,Master's,Surgeon,45.0,Neutral,8,4,2,Unwilling,3.0,25,10,3,0.48213792588926274,0.7808672025958421,High-quality medical services
32,F,Bachelor of Science,Nurse Practitioner,20.0,Positive,5,2,1,Neutral,2.0,8,15,3,0.21438523516835667,0.43180148686358666,Content Relevance
44,M,Doctor of Medicine,Physician,30.0,Positive,12,5,3,Positive,5.0,12,25,5,0.2848795936361652,0.5378111927600833,Email Subject Line
28,F,Doctor of Dental Medicine,Dentist,25.0,Negative,3,1,0,Negative,1.0,6,10,2,0.11686103927566067,0.22193432744111152,Time of Day
52,M,Doctor of Osteopathic Medicine,Surgeon,60.0,Positive,20,10,5,Positive,8.0,20,40,10,0.059617358974448996,0.06845667935735215,Content Format
45,F,Master of Science,Pharmacist,15.0,Neutral,8,3,2,Positive,3.0,10,20,4,0.23196544895161772,0.4039083971336129,Personalization
37,M,Master of Science,Physician Assistant,25.0,Positive,6,2,1,Neutral,2.0,9,18,3,0.15681342442862484,0.2754841106041506,Call to Action
